                  ID                Teff            Teff_err              log(g)          log(g)_err              [Fe/H]          [Fe/H]_err                sHRD
                 231           16000.000             1000.00           2.5000000            0.100000                  -99.9                  -99.9             3.70889
                 232           19000.000             1000.00           2.4000000            0.100000                  -99.9                  -99.9             4.10743
                 233           15000.000             1000.00           2.5000000            0.100000                  -99.9                  -99.9             3.59678
                 234           15000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             2.79678
                 235           18000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             3.11350
                 236           18000.000             1000.00           3.4000000            0.100000                  -99.9                  -99.9             3.01350
                 237           17000.000             1000.00           3.5000000            0.100000                  -99.9                  -99.9             2.81421
                 238           17000.000             1000.00           3.6000000            0.100000                  -99.9                  -99.9             2.71421
                 239           16000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             2.50889
                 240           19000.000             1000.00           3.9000000            0.100000                  -99.9                  -99.9             2.60743
                 241           17000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             2.61421
                 242           17000.000             1000.00           3.9000000            0.142662                  -99.9                  -99.9             2.41421
                 243           16000.000             1000.00           3.6000000            0.100000                  -99.9                  -99.9             2.60889
                 244           16000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             2.50889
                 245           16000.000             1000.00           3.5000000            0.100000                  -99.9                  -99.9             2.70889
                 246           16000.000             1000.00           4.0000000            0.100000                  -99.9                  -99.9             2.20889
                 247           17000.000             1000.00           3.8000000            0.136996                  -99.9                  -99.9             2.51421
                 248           16000.000             1000.00           2.1100000            0.100000                  -99.9                  -99.9             4.09889
                 249           15000.000             1000.00           2.1000000            0.100000                  -99.9                  -99.9             3.99678
                 250               14000                1000                 4.0                0.25                  -99.9                  -99.9             1.97692
                 251           16000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             2.50889
                 252           14000.000             1000.00           2.0800000            0.100000                  -99.9                  -99.9             3.89692
                 253           15000.000             1000.00           2.1000000            0.100000                  -99.9                  -99.9             3.99678
                 254           14000.000             1000.00           2.5000000            0.100000                  -99.9                  -99.9             3.47692
                 255           15000.000             1000.00           2.5000000            0.100000                  -99.9                  -99.9             3.59678
                 256           24000.000             1000.00           4.3000000            0.100000                  -99.9                  -99.9             2.61326
                 257               13000                1000                 3.5                0.25                  -99.9                  -99.9             2.34819
                 258               13000                1000                 3.5                0.25                  -99.9                  -99.9             2.34819
                 259           13000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             2.84819
                 260               15000                1000                 4.0                0.25                  -99.9                  -99.9             2.09678
                 261               14000                1000                 3.5                0.25                  -99.9                  -99.9             2.47692
                 262           15000.000             1000.00           3.5000000            0.100000                  -99.9                  -99.9             2.59678
                 263               15000                1000                 4.0                0.25                  -99.9                  -99.9             2.09678
                 264           15000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             2.79678
                 265               15000                1000                3.75                0.25                  -99.9                  -99.9             2.34678
                 266           15000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             2.79678
                 267           15000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             2.39678
                 268           15000.000             1000.00           3.5000000            0.100000                  -99.9                  -99.9             2.59678
